Barrio2	2010	2011	2012	2013	2014	2015	2016	Grand Total
URB. CHICO CHICO					1			1
URB. CHICO NORTE				1	2			3
URB. CHUCUA III SECTOR							2	2
URB. CIUDAD DE KENNEDY ORIENTAL					1		1	2
URB. CIUDAD DE TECHO						1		1
URB. CIUDAD KENNEDY SPMZ 12						1		1
URB. CIUDAD TECHO II					2	1	2	5
URB. CIUDADELA CAFAM					1		1	2
URB. CLARELANDIA DEL SUR	1		1	1	1		1	5
URB. CLARET EL CARMEN	7	4	8	9	10	18	8	64
URB. COLON	3	2	1	4	1	3		14
URB. COMPARTIR	11	10	7	8	7	8	10	61
URB. CONTADOR							1	1
URB. CÓRDOBA	2	2	2					6
URB. COSTA AZUL I Y II ETAPA	9	3	5	7	4	3	8	39
URB. COSTA BELLA							1	1
URB. DANUBIO		2						2
URB. DE FONTIBÓN						1		1
URB. DOÑA LILIANA	1	1						2
URB. EL ALMENAR	1	1	2	1		1	3	9
URB. EL BATAM II SECTOR							1	1
URB. EL BATAN	6	6	8	11	6	7	5	49
URB. EL CARMELO FAVIDI		1			1			2
URB. EL CASTILLO		1	1	2				4
URB. EL CEDRO	2	1	1	3				7
URB. EL CEDRO BOLÍVAR					1			1
URB. EL CHICO					1	1		2
URB. EL CLARET						1		1
URB. EL CONTADOR						1		1
URB. EL ESTORIL	1		1	5	3	3	2	15
URB. EL LAGUITO					2			2
URB. EL LIMONAR				1				1
URB. EL PASEITO SECTORES I Y III						1		1
URB. EL PEÑÓN DEL CORTIJO	1	1	2	2		2	2	10
URB. EL PINAR DE SUBA II SECTOR					1			1
URB. EL PÓRTICO			1	1				2
URB. EL PRECISO			1			1		2
URB. EL RECREO DE LOS FRAYLES				1	2	1		4
URB. EL RECREO DE USAQUÉN					1	1		2
URB. EL REDIL II ETAPA		2		2		1	3	8
URB. EL REMANSO	2	2	2	5	5	7	5	28
URB. EL RETIRO						1	1	2
URB. EL SOCIEGO						1		1
URB. EL SOL		1	1	2	1		1	6
URB. EL SOLAR I	1	1	2					4
URB. EL TUNAL	10	10	39	47	2	3	2	113
URB. EL VIRREY	7	5	9	4	2	8	5	40
URB. ELCEDRO MADEIRA	1		1					2
URB. ELTEJAR	4	2	9	13	14	7	5	54
URB. FRANCISCO JOSÉ DE CALDAS							1	1
URB. FUCHA SEVILLA SUR	1			3	2	2		8
URB. FUCHA Y SOCIEGO					2		1	3
URB. FUENTE DEL DORADO						1		1
URB. GALICIA	4		2	4	1	4	4	19
URB. GILMAR II		1				1		2
URB. GRANJAS DE SAN PABLO	1	1	4	1	1	8	6	22
URB. GUACAMAYAS							1	1
URB. HORACIO ORJUELA						2	1	3
URB. HUMBERTO VALENCIA	2	2	1			1		6
URB. INDUSTRIAL PENSILVANIA	1	3	2	14	10	7	16	53
URB. INDUSTRIAL PUENTE ARANDA					5	4	4	13
URB. ISLANDIA							1	1
URB. ISMAEL PERDOMO	5	1	1	2		1		10
URB. LA ALBORADA		1			1			2
URB. LA ALEJANDRA			2					2
URB. LA ALQUERÍA	7	6	14	25	14	12	14	92
URB. LA ASUNCIÓN	3		1	6	2	4	5	21
URB. LA CAMPIÑA I SECTOR	12	5	7	13	1	2	2	42
URB. LA CAROLINA					1			1
URB. LA CASTELLANA					1		1	2
URB. LA CHUCUA	4	2	2	3	6	6	1	24
URB. LA CHUCUA II SECTOR						1		1
URB. LA COFRADÍA					1			1
URB. LA COLINA CAMPESTRE I SECTOR	13	16	11	10	14	6	11	81
URB. LA COLINA CAMPESTRE II SECTOR					1			1
URB. LA COLINA CAMPESTRE III SECTOR						1		1
URB. LA COLONIA ORIENTAL					1			1
URB. LA CORUÑA	3	2	5	4	3	7	5	29
URB. LA ESTACIÓN					1			1
URB. LA ESTACIÓN DE LA SABANA						1		1
URB. LA FONTANA	9	4	8	9		1	3	34
URB. LA FRAGUITA					2		3	5
URB. LA GAITANA					1			1
URB. LA GUACA	1			6	1	1	1	10
URB. LA MANUELITA II SECTOR	1	3	2	1				7
URB. LA MERCED SUR					1			1
URB. LA MILAGROSA					1			1
URB. LA NAVETA			1	1	1			3
URB. LA PALMA	2	1	2	1	1	3		10
URB. LA PALMA I					1			1
URB. LA PEPITA NORTE					1			1
URB. LA PRIMAVERA					1		1	2
URB. LA PUERTA DEL SOL	1				1	2	2	6
URB. LA SABANA DE TIBABUYES	5	2	1	3		4	3	18
URB. LA SOLEDAD					1		1	2
URB. LA SONORA		1	1					2
URB. LA TRINITARIA	1	1	2	2	4	1	1	12
URB. LAGO TIMIZA I ETAPA	3	3	5	7	4	2	2	26
URB. LAGOS DE CÓRDOBA	1	1		1		2		5
URB. LAGUNETA		2	4	3	2	1	2	14
URB. LAS COLINAS DE PRADO	1			2				3
URB. LAS LOMAS	3	3	7	15	9	13	10	60
URB. LAS QUINTAS						1		1
URB. LAS QUINTAS DEL SUR		1	3	1	1	3	3	12
URB. LOS ÁNGELES	1		1					2
URB. LOS CEDRITOS							1	1
URB. LOS COMUNEROS	2			4	2	1	2	11
URB. LOS EJIDOS					1	3	4	8
URB. LOS HEROES	4		2	7	5		1	19
URB. LOS MOLINOS	1		2	2		1	4	10
URB. LOS NOGALES DE TIBABUYES	1	2	1					4
URB. LUCERNA	1		4	2	1			8
URB. MADELENA I Y II SECTOR	4	8	12	10	8	14	15	71
URB. MADELENA III Y IV SECTOR					1			1
URB. MALIBU	1	1						2
URB. MANUELA BELTRÁN	1	2	3	1		1		8
URB. MARANTA I - II - III SECTOR							1	1
URB. MARRUECOS		1	3	5	8	10	7	34
URB. MARSELLA	10	12	23	26	24	20	31	146
URB. MAZUREN I SECTOR	20	10	8	19	12	21	25	115
URB. MIRANDELA	5	3	8	6	11	12	13	58
URB. MIRAVALLE			1	1		2		4
URB. MODELIA					1			1
URB. MONTEARROYO				1				1
URB. MONTERREY					1			1
URB. MONTES I SECTOR	4	9	5	8	7	6	4	43
URB. MONTES II SECTOR	2				1		1	4
URB. MULTIFAMILIARES CARIMAGUA						1		1
URB. NARIÑO							1	1
URB. NUEVA AUTOPISTA					4	7	5	16
URB. NUEVA MARSELLA I SECTOR	3	7	5	5	4	12	5	41
URB. NUEVA ROMA ULTIMA ETAPA	1	1		1				3
URB. NUEVA ZELANDIA	3	8	4	9	2	2	5	33
URB. NUEVO COUNTRY I SECTOR		2	1	5		1		9
URB. OASIS DE SAN JORGE						2	1	3
URB. ORTEZAL				2	3	1		6
URB. PADUA						1		1
URB. PALENQUE		8	2	7	8	8	17	50
URB. PARQUE COMERCIAL BIMA					1	1		2
URB. PASADENA	16	7	6	11	8	4	6	58
URB. PASTRANA			1				1	2
URB. PATIO BONITO II SECTOR	2	3	2		1	2	1	11
URB. PAULO VI. I Y II ETAPA					1	1		2
URB. PINAR DEL RÍO					1			1
URB. PINOS DE LOMBARDIA					4	2	2	8
URB. PONTEVEDRA I SECTOR	10	7	4	7	4	3	12	47
URB. PONTEVEDRA II SECTOR					1			1
URB. PORTAL DE LA FONTANA						1		1
URB. PORTAL DEL MOCHUELO							1	1
URB. PUENTE ARANDA	12	13	30	20	11	17	10	113
URB. PUNTO 170						1		1
URB. QUIROGA I, II Y III ETAPA	4	8	11	35	1	2		61
URB. QUIROGA IHS ETAPA	2	4	2	4				12
URB. QUIROGA IV, V Y VI ETAPA	2		4	5				11
URB. QUMRAN CONDOMINIO	1							1
URB. RINCÓN DEL PUENTE				1				1
URB. RINCONCITO	38	20	24	43	2	2	13	142
URB. RÍO BAMBA	2	1						3
URB. RIONEGRO				1	5	4	7	17
URB. ROMERO CONTI							2	2
URB. ROSALEDA  S.A.P.						1		1
URB. SAN CARLOS	4	4	12	13	9	20	6	68
URB. SAN CARLOS NORTE						1		1
URB. SAN CIPRIANO	11	9	2	8	3	3	4	40
URB. SAN DIEGO				1				1
URB. SAN EUSEBIO		1	1	1	2	5	1	11
URB. SAN FELIPE						1		1
URB. SAN FRANCISCO	16	10	25	37	25	26	36	175
URB. SAN GABRIEL	1				1	3		5
URB. SAN JORGE	1		3	2				6
URB. SAN LUIS					2	1		3
URB. SAN MIGUEL							1	1
URB. SAN PABLO						1		1
URB. SAN PATRICIO	4	6	8	11	15	12	8	64
URB. SAN PEDRO	7	3	1	7				18
URB. SAN RAFAEL NORTE I						1		1
URB. SAN RAFAEL OBRERO	1	2	2	3			1	9
URB. SANTA ANA						1	2	3
URB. SANTA ANA NORTE					1	2		3
URB. SANTA CATALINA						1		1
URB. SANTA FEREÑA					4	3	3	10
URB. SANTA MARGARITA		1	1	1	2	1	3	9
URB. SANTA PAULA	1	4	4	3	3	1	1	17
URB. SANTA RITA I SECTOR	2	6	6	7	6	8	7	42
URB. SANTA RITA II SECTOR					1	1	1	3
URB. SANTA SOFÍA SUR				1		1		2
URB. SANTANDER	2	1	4	5	1	8	12	33
URB. SOCIEGO NORTE							1	1
URB. SULTANA				1				1
URB. SUR DE TEUSAQUILLO					2			2
URB. TECHO					1			1
URB. TEJARES DEL NORTE V						1		1
URB. TEUSA				1				1
URB. TIBANA	3	1	1	2	1	1	1	10
URB. TIERRA LINDA	3	5	5	11	5	10	8	47
URB. TIMIZA	8	6	14	24	1	10	14	77
URB. TOBERIN	18	8	15	33	11	6	6	97
URB. TUNAL CENTRAL						1		1
URB. UNIR I					1	1	1	3
URB. URBANA QUIROGA					5	5	6	16
URB. VALLADOLI						1		1
URB. VERAGUAS	2	3	4	4	3	2	2	20
URB. VILLA ADRIANA						1		1
URB. VILLA ALSACIA					1	4		5
URB. VILLA CRISTINA ETAPA III					1			1
URB. VILLA DEL RÍO					6	8	3	17
URB. VILLA ELISA					3		2	5
URB. VILLA GALANTE					1			1
URB. VILLA INÉS						1	1	2
URB. VILLA MARÍA I Y II SECTOR					1			1
URB. VILLA SONIA	3		4	3	2	7	1	20
URB. VILLAS DE ANDALUCÍA							1	1
URB. VILLAS DEL MEDITERRÁNEO	2	3	1	4	3		2	15
URB. VILLEMAR						1		1
URB. VIRREY SOLÍS					1		1	2
URB. VISION DE COLOMBIA						3	1	4
URB. VISION DE ORIENTE						1		1
URB. ZARAZOTA 1	1		2				1	4
URB. ZONA INDUSTRIAL	1	4	1	1	1	1	1	10
USATAMA	2	3	1	1	3	1	4	15
USMINIA DESARROLLO	1			1		1	3	6
VALBANERA	4	2	9	2	6	3	6	32
VALENCIA LA CHUCUA						1		1
VALLADOLID	4		6	5	1	4	2	22
VALLE DE CAFAM II SECTOR	1	3						4
VALLES DE CAFAN			1		2	1	5	9
VALPARAISO	1							1
VARGAS VILA						1		1
VEGAS DE SANTA ANA					1	1		2
VEGAS DE SANTANA						1	1	2
VEINTE DE JULIO	15	9	23	53	38	43	96	277
VELODROMO	2		1	8	11	6	3	31
VENECIA	16	13	24	23	35	41	38	190
VENEZUELA				1			1	2
VERACRUZ	5	11	8	32	27	25	26	134
VERAGUAS			3		3	3	9	18
VERAGUAS CENTRAL IV SECTOR					1		3	4
VERBENAL				3	21	14	26	64
VERBENAL I	5	9	11	23		1	1	50
VEREDA CASABLANCA SUBA						1		1
VEREDA CHORRILLOS				1	2			3
VEREDA EL MOCHUELO ALTO			2					2
VEREDA EL OLARTE		1					1	2
VEREDA MONSERRATE	4			1	1		2	8
VEREDA SAN JOSE	3	2	3	4	2	1	2	17
VEREDA SUBA CERROS						1		1
VEREDA TORCA			2	2			1	5
VERGEL		2	1	4	2	4	1	14
VERONA	1				1	1	1	4
VERSALLES	4	1	6	13	12	16	8	60
VIA CHOACHI		1		1		1		3
VIANEY					1	1		2
VICTORIA					1	1	1	3
VICTORIA II SECTOR					3	1		4
VILLA ADRIANA	3		1	3		1	1	9
VILLA ALBANIA							2	2
VILLA ALEGRE						1		1
VILLA ALEJANDRÍA				1				1
VILLA ALEMANIA						2	2	4
VILLA ALEXANDRA							1	1
VILLA ALICIA						1		1
VILLA ALSACIA	6	4	17	11	9	10	9	66
VILLA ALSACIA SECTOR A					3	1	1	5
VILLA AMALIA	2		3	1	5	4	2	17
VILLA ANDINA				1			1	2
VILLA ANDREA		1			2		1	4
VILLA ANITA	1		2				1	4
VILLA ANITA SUR					1		1	2
VILLA ANITA USME			1	1				2
VILLA ANNY	2	1	2	1			1	7
VILLA BEATRIZ					1			1
VILLA BLANCA						1		1
VILLA CARMENZA			1	1		1	1	4
VILLA CAROLINA			2			1		3
VILLA CASTILLA					1	1		2
VILLA CATALINA I-II		4			1			5
VILLA CATALINA III SECTOR		1						1
VILLA CINDY	1		1	2		2	2	8
VILLA CLAUDIA	5	6	4	6	2	5	8	36
VILLA CLAVER						1		1
VILLA CLEMENCIA	2		1	1				4
VILLA CLEMENCIA SECTOR TIERRA GRATA					1			1
VILLA CONSTANZA	1				1			2
VILLA CRISTINA					1		1	2
VILLA DE LA LOMA	1	2	1	1	1		7	13
VILLA DE LA TORRE					1	1	2	4
VILLA DE LOS ALPES	1		1	7	4	11	11	35
VILLA DE LOS COMUNEROS							1	1
VILLA DE LOS SAUCES	1	2	2		2	3		10
VILLA DE ZARZAMORA	1							1
VILLA DEL CAMPO						2		2
VILLA DEL CERRO	1							1
VILLA DEL MAR	1	1		1			1	4
VILLA DEL PRADO	12	9	17	25	24	13	20	120
VILLA DEL PRADO NVA	1	1		1	1		1	5
VILLA DEL PROGRESO	1	2						3
VILLA DEL RINCON	1				8	9	9	27
VILLA DEL RIO	8	8	12	6	8	6	16	64
VILLA DEL ROSARIO	1		1	2	5	1	2	12
VILLA DEL SOL						2		2
VILLA DIANA				1			1	2
VILLA DIANA LÓPEZ					1			1
VILLA ELISA	11	6	4	8	6	4	8	47
VILLA EMMA	1				2		3	6
VILLA GLADIS	2	4	4	2	3	3	5	23
VILLA GLADYS	1		1	1	1		1	5
VILLA GLADYS IV SECTOR						1		1
VILLA GLORIA	1	2		1	2	3	4	13
VILLA GLORIA I					1	2	1	4
VILLA HERMOSA		1	4	2	4	2	3	16
VILLA ISABEL		2						2
VILLA ISRAEL						1		1
VILLA JACQUI							1	1
VILLA JAVIER	3		1	2	5	5	2	18
VILLA JUANITA	1		1	1				3
VILLA LATORRE	1	1				1	1	4
VILLA LILIANA						2		2
VILLA LUZ	12	6	10	14	14	7	8	71
VILLA MAGDALA	3	5	1	7	2		3	21
VILLA MARIA I	5	2	5	9	6	7	8	42
VILLA MARIA II	2	1	1	2	1	1		8
VILLA MAYOR	7	8	19	26	38	24	25	147
VILLA MAYOR LA NUEVA			1		1	3	1	6
VILLA MENDOZA					2			2
VILLA NELLY	3	3	2	1	4	8	10	31
VILLA NELLY III LOS ALISOS						1		1
VILLA NOHORA	3	2	1					6
VILLA NUEVA	3	1	1		1	2	1	9
VILLA NYDIA	2		3	8	1			14
VILLA RICA		1				1		2
VILLA ROSITA							2	2
VILLA SAGRARIO				1				1
VILLA SONIA	1	1	1	2	1			6
VILLA SONIA II SECTOR							1	1
VILLA SUAITA		1	1				3	5
VILLA SUSANA	1							1
VILLA TERESITA					4		1	5
VILLA XIMENA					1		2	3
VILLA ZARZAMORA							1	1
VILLAS DE ALCALÁ				1	1			2
VILLAS DE ARANJUEZ		1	2	2	3	3	2	13
VILLAS DE BOLÍVAR					1		2	3
VILLAS DE GRANADA	12	4	22	16	20	14	26	114
VILLAS DE KENNEDY					1			1
VILLAS DE SAN JOAQUÍN					1			1
VILLAS DE VIZCAYA			1					1
VILLAS DEL DORADO	3	2	5	2	1	3	4	20
VILLAS DEL MADRIGAL	2	2	4	5	2	1	1	17
VILLAS DEL PROGRESO		1				1		2
VILLAS DEL RINCÓN					3	2	1	6
VILLAS EL DIAMANTE	1		1			1		3
VILLEMAR	2	4	12	6	2	4	11	41
VILLEMAR CENTRAL							2	2
VISION DE COLOMBIA	1	2	4	3	2	3	2	17
VISTA BELLA				1			1	2
VISTA HERMOSA	6	6	9	4	3	2	6	36
VISTA HERMOSA SECTOR EL CAPRI	1	1					1	3
VISTA HERMOSA SECTOR EL ESPINAL					1	1		2
VITELMA	3	2	4	4	1	1	2	17
VIZCAYA	1							1
VOTO NACIONAL	3	3	4	17	27	31	17	102
YOMASA NORTE	7	6	8	10	6	4		41
YOMASITA					1	1	1	3
ZARZAMORA	5	2	8	1	5	2	3	26
ZONA IND. LAS GRANJAS	1				1			2
ZONA INDUSTRIAL		1	6	3	2	2		14
ZONA INDUSTRIAL EL DORADO							1	1
ZONA INDUSTRIAL LA GRANJA	1				1		5	7
ZONA INDUSTRIAL LAS GRANJAS					2	3	4	9
ZONA INDUSTRIAL MONTEVIDEO	9	1	1	1	3	3	1	19
