Barrio2	2010	2011	2012	2013	2014	2015	2016	Grand Total
PARQUE DE FONTIBON	1	1						2
PARQUE DE MILENTA II ETAPA							2	2
PARQUE EL SALITRE		1		2	1	1	2	7
PARQUE EL TUNAL	2	1	3	5	2	7	4	24
PARQUE LOS NOVIOS				1				1
PARQUE NACIONAL	8	2	4	6	9	6	4	39
PARQUE RESIDENCIAL NAVARRA							1	1
PARQUE SIMON BOLIVAR	1	6	6	5	4	4	8	34
PARQUES DE LA FLORIDA		1						1
PASADENA ROYAL					8	4	7	19
PASEO DE LA COLINA							1	1
PASO ANCHO						1		1
PASTRANITA I		1	1	3	8	3	3	19
PASTRANITA II						1		1
PATIO BONITO I	25	33	30	49	65	73	118	393
PATIOS				1				1
PATRIA	1		3	2	4	2		12
PENITENCIARIA LA PICOTA					1			1
PEÑÓN DEL CORTEJO III SECTOR						1		1
PEPITA URB. LA						1		1
PERDOMO	6	6	11	17	20	20	11	91
PERDOMO ALTO	1	1	2	1	7	6	7	25
PERPETUO SOCORRO	2	4	5	5	5	7	7	35
PIAMONTE	18	13	21	16	23	17	14	122
PINAR DE LOS ALAMOS					1	1	1	3
PINAR DEL RIO		2	2	1	1	5	4	15
PINARES				1			1	2
PINO ALTO							2	2
PINOS DE MARSELLA						4		4
PIO X KENNEDY						1	3	4
PIO XII	2	1	2	3	6	8	11	33
PLAN CANTERAS					1			1
PLAZA DE BOLIVAR		1	1	2		2		6
PLAZA DE LAS FLORES	1	1		2		1	1	6
PLAZA DE PALOQUEMAO	1			1				2
PLAZUELAS DEL VIRREY	2		2	3	2	1		10
PLAZUELAS DEL VIRREY III ETAPA					1			1
POLICARPA SALAVARRIETA				4	12	7	3	26
POLO CLUB	13	8	25	46	56	54	65	267
POLO DEL COUNTRY							1	1
POLO OCCIDENTAL					1	1	2	4
PORTADA						1		1
PORTAL DE ALCALÁ					1			1
PORTAL DE LA VEGA					1			1
PORTAL DE LAS AMERICAS	1	1	2	2	1	1	8	16
PORTAL DE SAN CARLOS					2	1	1	4
PORTAL DE SANTA INÉS						1		1
PORTAL DEL DIVINO					1	1		2
PORTAL DEL LLANO				2		1		3
PORTAL DEL RINCON					2			2
PORTAL II ETAPA							1	1
PORTALES DEL NORTE		1	1	6	4	3	5	20
PORVENIR LA CONCEPCIÓN					2	2	1	5
POTOSI	1	2	5	3	3	4	2	20
POTOSÍ		1	2	3	3	1	4	14
POTRERILLOS DE SUBA		1	1	1	2	1	4	10
POTRERITO	1			1			1	3
PRADO ALTO					2		1	3
PRADO CENTRAL				1	2	7	2	12
PRADO CHESTNUT - HILL	1	1		1				3
PRADO PINZON	6	5	1	6	5	8	4	35
PRADO SUR				1		1		2
PRADO SUR SECTOR LA VILLA					1			1
