URB. LA COLINA CAMPESTRE I SECTOR	11	11
URB. LA CHUCUA	1	1
URB. LA CASTELLANA	1	1
URB. LA CAMPIÑA I SECTOR	2	2
URB. LA ASUNCIÓN	5	5
URB. LA ALQUERÍA	14	14
URB. ISLANDIA	1	1
URB. INDUSTRIAL PUENTE ARANDA	4	4
URB. INDUSTRIAL PENSILVANIA	16	16
URB. HORACIO ORJUELA	1	1
URB. GUACAMAYAS	1	1
URB. GRANJAS DE SAN PABLO	6	6
URB. GALICIA	4	4
URB. FUCHA Y SOCIEGO	1	1
URB. FRANCISCO JOSÉ DE CALDAS	1	1
URB. ELTEJAR	5	5
URB. EL VIRREY	5	5
URB. EL TUNAL	2	2
URB. EL SOL	1	1
URB. EL RETIRO	1	1
URB. EL REMANSO	5	5
URB. EL REDIL II ETAPA	3	3
URB. EL PEÑÓN DEL CORTIJO	2	2
URB. EL ESTORIL	2	2
URB. EL BATAN	5	5
URB. EL BATAM II SECTOR	1	1
URB. EL ALMENAR	3	3
URB. COSTA BELLA	1	1
URB. COSTA AZUL I Y II ETAPA	8	8
URB. CONTADOR	1	1
URB. COMPARTIR	10	10
URB. CLARET EL CARMEN	8	8
URB. CLARELANDIA DEL SUR	1	1
URB. CIUDADELA CAFAM	1	1
URB. CIUDAD TECHO II	2	2
URB. CIUDAD DE KENNEDY ORIENTAL	1	1
URB. CHUCUA III SECTOR	2	2
URB. CERROS DE ORIENTE II SECTOR	1	1
URB. CENTRO NARIÑO	4	4
URB. CENTRO INDUSTRIAL	6	6
URB. CEDRO NARVAEZ	1	1
URB. CEDRITOS	2	2
URB. CATALUÑA	1	1
URB. CATALINA	1	1
URB. CASTILLA	3	3
URB. CASA LINDA	7	7
URB. CARLOS ALBAN HOLGUIN	1	1
URB. CARIMAGUA I SECTOR	5	5
URB. CARACAS	2	2
URB. CARABELAS	2	2
URB. CAPRI I SECTOR	1	1
URB. CANODROMO	2	2
URB. BODEGAS DE FONTIBÓN	1	1
URB. BOCHICA	1	1
URB. BETANIA	1	1
URB. BELMIRA	2	2
URB. BARRANQUILLITA	7	7
URB. BABILONIA	7	7
